2020-05-17 14:10:11.095880 | __main__ | INFO | Going to sleep for 600s
2020-05-17 14:20:11.309336 | VkNotifier | INFO | No unseen messages
2020-05-17 14:20:11.310373 | __main__ | INFO | Going to sleep for 600s
2020-05-17 14:30:11.455117 | VkNotifier | INFO | No unseen messages
2020-05-17 14:30:11.456038 | __main__ | INFO | Going to sleep for 600s
2020-05-17 14:40:11.593104 | VkNotifier | INFO | No unseen messages
2020-05-17 14:40:12.071051 | __main__ | INFO | Going to sleep for 600s
2020-05-17 14:50:12.225582 | VkNotifier | INFO | No unseen messages
2020-05-17 14:50:12.226510 | __main__ | INFO | Going to sleep for 600s
2020-05-17 15:00:12.344539 | VkNotifier | INFO | No unseen messages
2020-05-17 15:00:12.345468 | __main__ | INFO | Going to sleep for 600s
2020-05-17 15:10:12.462888 | VkNotifier | INFO | No unseen messages
2020-05-17 15:10:12.463822 | __main__ | INFO | Going to sleep for 600s
2020-05-17 15:20:12.596344 | VkNotifier | INFO | No unseen messages
2020-05-17 15:20:12.597284 | __main__ | INFO | Going to sleep for 600s
2020-05-17 15:30:12.729726 | VkNotifier | INFO | No unseen messages
2020-05-17 15:30:12.730804 | __main__ | INFO | Going to sleep for 600s
2020-05-17 15:40:12.874603 | VkNotifier | INFO | No unseen messages
2020-05-17 15:40:13.384479 | __main__ | INFO | Going to sleep for 600s
2020-05-17 15:50:13.553621 | VkNotifier | INFO | No unseen messages
2020-05-17 15:50:13.554549 | __main__ | INFO | Going to sleep for 600s
2020-05-17 16:00:13.758752 | VkNotifier | INFO | No unseen messages
2020-05-17 16:00:13.759688 | __main__ | INFO | Going to sleep for 600s
2020-05-17 16:10:13.917832 | VkNotifier | INFO | No unseen messages
2020-05-17 16:10:13.918765 | __main__ | INFO | Going to sleep for 600s
2020-05-17 16:20:14.032791 | VkNotifier | INFO | No unseen messages
2020-05-17 16:20:14.033724 | __main__ | INFO | Going to sleep for 600s
2020-05-17 16:30:14.146661 | VkNotifier | INFO | No unseen messages
2020-05-17 16:30:14.147591 | __main__ | INFO | Going to sleep for 600s
2020-05-17 16:40:14.263870 | VkNotifier | INFO | No unseen messages
2020-05-17 16:40:14.917959 | __main__ | INFO | Going to sleep for 600s
2020-05-17 16:50:15.127547 | VkNotifier | INFO | No unseen messages
2020-05-17 16:50:15.128473 | __main__ | INFO | Going to sleep for 600s
2020-05-17 17:00:15.337335 | VkNotifier | INFO | No unseen messages
2020-05-17 17:00:15.338269 | __main__ | INFO | Going to sleep for 600s
2020-05-17 17:10:15.551469 | VkNotifier | INFO | No unseen messages
2020-05-17 17:10:15.552402 | __main__ | INFO | Going to sleep for 600s
2020-05-17 17:20:15.750947 | VkNotifier | INFO | No unseen messages
2020-05-17 17:20:15.751881 | __main__ | INFO | Going to sleep for 600s
2020-05-17 17:30:15.875957 | VkNotifier | INFO | No unseen messages
2020-05-17 17:30:15.876889 | __main__ | INFO | Going to sleep for 600s
2020-05-17 17:40:15.990441 | VkNotifier | INFO | No unseen messages
2020-05-17 17:40:16.629067 | __main__ | INFO | Going to sleep for 600s
2020-05-17 18:04:57.274796 | vkBot.SqlModule.SqlLiteModule | INFO | Table exists.
2020-05-17 18:04:57.275506 | __main__ | INFO | Successfully started
2020-05-17 18:04:57.919076 | vkBot.VkNotifier.VkNotifier | INFO | No unseen messages
2020-05-17 18:04:57.919725 | __main__ | INFO | Going to sleep for 600s
2020-05-17 18:05:06.709183 | vkBot.ImapClient.ImapClient | INFO | Logout from mailbox :(
2020-05-17 18:05:06.711025 | vkBot.SqlModule.SqlLiteModule | INFO | Connection closed.
